
as 16:16:32 ---- APP STARTED ---

sc 16:16:33 -- :Menu Utama --
.. 16:16:46      .
td 16:34:07      touched on :(679.0, 969.0)
td 16:34:07      touched on :(145.0, 502.0)
td 16:34:07      touched on :(50.0, 427.99999999999994)
td 16:34:07      touched on :(39.0, 378.0)
td 16:34:07      touched on :(58.0, 297.0)
td 16:34:07      touched on :(26.0, 295.0)
td 16:34:07      touched on :(109.0, 342.0)
td 16:34:07      touched on :(7.0, 173.99999999999997)
td 16:34:07      touched on :(228.0, 63.99999999999997)
td 16:34:07      touched on :(336.0, 153.00000000000006)
td 16:34:07      touched on :(372.0, 209.99999999999997)
td 16:34:07      touched on :(327.0, 195.99999999999997)
td 16:34:07      touched on :(362.0, 231.00000000000003)
bp 16:34:07      pressed :e-Kelurahan
td 16:34:07      touched on :(549.0, 423.00000000000006)
bp 16:34:07      pressed :e-Kelurahan
td 16:34:07      touched on :(464.0, 521.0)
td 16:34:07      touched on :(498.00000000000006, 576.0)
td 16:34:07      touched on :(640.0, 688.0)
bp 16:34:07      pressed :e-Kelurahan
td 16:34:07      touched on :(615.0, 836.0000000000001)
td 16:34:07      touched on :(549.0, 883.0000000000001)
td 16:34:07      touched on :(563.0, 980.0)
td 16:34:07      touched on :(712.0, 946.0)
td 16:34:07      touched on :(772.0, 978.0)
bp 16:34:07      pressed :e-Kelurahan
td 16:34:08      touched on :(512.0, 1033.0)
bp 16:34:08      pressed :e-Kelurahan
td 16:34:08      touched on :(512.0, 1020.0)
td 16:34:08      touched on :(460.0, 883.0000000000001)
td 16:34:08      touched on :(339.0, 1000.0)
td 16:34:08      touched on :(193.0, 639.0)
td 16:34:08      touched on :(168.0, 559.0)
td 16:34:08      touched on :(87.0, 570.0)
td 16:34:08      touched on :(155.0, 441.0)
td 16:34:08      touched on :(157.0, 164.00000000000006)
td 16:34:08      touched on :(209.0, 151.00000000000003)
td 16:34:08      touched on :(355.0, 262.99999999999994)
td 16:34:08      touched on :(279.0, 234.0)
td 16:34:08      touched on :(323.0, 305.00000000000006)
bp 16:34:08      pressed :e-Kelurahan
bp 16:34:08      pressed :e-Kelurahan
td 16:34:08      touched on :(395.0, 355.0)
bp 16:34:08      pressed :e-Kelurahan
td 16:34:08      touched on :(399.0, 539.0)
bp 16:34:08      pressed :e-Kelurahan
td 16:34:08      touched on :(443.0, 626.9999999999999)
bp 16:34:08      pressed :e-Kelurahan
td 16:34:08      touched on :(375.0, 700.0)
td 16:34:08      touched on :(409.0, 701.0000000000001)
td 16:34:08      touched on :(488.0, 862.0)
td 16:34:08      touched on :(400.0, 929.0)
td 16:34:08      touched on :(332.0, 906.0)
td 16:34:08      touched on :(390.0, 995.0)
bp 16:34:08      pressed :e-Kelurahan
td 16:34:08      touched on :(471.0, 1033.0)
td 16:34:08      touched on :(315.0, 1042.0)
td 16:34:08      touched on :(171.0, 949.0000000000001)
td 16:34:08      touched on :(74.0, 958.0)
td 16:34:08      touched on :(122.99999999999999, 1027.0)
td 16:34:08      touched on :(218.0, 964.0)
td 16:34:08      touched on :(97.0, 825.0)
td 16:34:08      touched on :(13.0, 713.0)
td 16:34:08      touched on :(217.0, 611.0)
td 16:34:08      touched on :(118.0, 479.0)
td 16:34:08      touched on :(110.0, 382.00000000000006)
td 16:34:08      touched on :(63.0, 416.0)
td 16:34:08      touched on :(232.0, 426.00000000000006)
td 16:34:08      touched on :(328.0, 441.99999999999994)
td 16:34:08      touched on :(393.0, 491.0)
td 16:34:09      touched on :(799.0, 670.9999999999999)
td 16:34:09      touched on :(799.0, 738.0)
td 16:34:09      touched on :(753.0, 774.0)
td 16:34:09      touched on :(912.0, 726.0000000000001)
